status	read_id	taxid	V4	V5	domain	phylum	class	order	family	genus	species
C	M06338:88:000000000-JCJ4V:1:2111:16920:9631	49640	250|181	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:2	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:25312:9666	49640	245|217	4:110 49599:3 4:5 49640:6 48920:4 49640:16 48920:1 4:5 47666:1 4:5 48920:1 4:2 49640:29 4:23 |:| 4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:24	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:22975:9670	14689	213|205	3:102 3786:5 14689:3 3799:2 14689:38 3799:3 3:7 0:11 3:5 43344:3 |:| 1:8 3:11 43344:3 3:5 0:11 3:7 3799:3 14689:38 3799:2 14689:3 3786:5 3:75	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium	NA
C	M06338:88:000000000-JCJ4V:1:2111:18123:9755	49640	250|142	4:64 49640:5 4:2 49640:1 4:1 49640:1 4:5 49640:1 4:1 49640:5 48920:1 4:40 47666:1 4:31 49640:29 4:2 48920:1 4:5 47666:1 4:5 48920:1 49640:13 |:| 4:108	Nucletmycea	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA
C	M06338:88:000000000-JCJ4V:1:2111:13686:9759	48820	250|204	4:216 |:| 4:66 46958:1 4:5 46958:1 4:55 48820:5 0:6 4:2 0:3 4:1 0:5 4:20	Nucletmycea	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae Sedis	Candida	NA
C	M06338:88:000000000-JCJ4V:1:2111:8960:9767	45185	226|151	3:7 25141:2 3:51 45185:4 1673:5 45185:4 3:37 1673:3 45185:1 1673:5 45185:1 1673:2 45185:6 1673:1 45185:15 1673:19 1672:3 3:1 1672:5 3:20 |:| 1:7 3:20 1672:5 3:1 1672:3 1673:19 45185:15 1673:1 45185:6 1673:2 45185:1 1673:5 45185:1 1673:3 3:21 43804:2 0:5	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:10609:9922	2852	138|146	1:7 3:57 2852:4 0:5 2853:1 0:4 3:3 2379:11 3:12 |:| 3:80 2379:11 3:3 0:4 2853:1 0:13	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
C	M06338:88:000000000-JCJ4V:1:2111:25892:10047	47962	232|115	1:11 4:64 1:3 4:1 1:9 4:35 47962:24 47666:12 0:2 47962:7 0:24 47024:2 0:4 |:| 4:7 47024:2 4:5 47235:3 47024:4 4:9 47024:11 4:15 47024:6 47087:1 0:7 47024:1 0:10	Nucletmycea	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
C	M06338:88:000000000-JCJ4V:1:2111:26323:10080	3723	218|209	1:7 3:31 3723:3 3303:2 0:3 3718:5 0:1 3723:5 0:12 3723:15 3718:7 2375:5 3:88 |:| 3:88 2375:5 3718:7 3723:15 0:12 3723:5 0:1 3718:5 0:3 3303:2 3723:3 3:29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
C	M06338:88:000000000-JCJ4V:1:2111:27652:10170	2852	94|156	3:35 2375:6 3:1 2375:3 3:7 2375:8 |:| 3:79 2852:5 2379:1 2844:2 2379:10 2844:5 3:2 0:7 2375:10 3:1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
C	M06338:88:000000000-JCJ4V:1:2111:18096:10209	1768	231|163	3:44 1768:1 0:14 3:5 0:7 3:5 1674:9 1753:1 1673:9 3:7 1674:2 1672:1 3:85 1:2 3:5 |:| 3:5 1:2 3:85 1672:1 1674:2 3:7 1673:9 1753:1 1674:9 3:5 0:3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	NA
